EA       Name        Basicblocks Instructions Edges
--       ----        ----------- ------------ -----
08000D0C sub_8000D0C     1            4           0
08000D18 sub_8000D18     1            5           0
08001C5C sub_8001C5C     1            3           0
08003C88 sub_8003C88     1            3           0
08004538 sub_8004538     3           21           3
08004598 sub_8004598     1            1           0
08007CD4 sub_8007CD4     1            1           0
0800A048 sub_800A048     5           26           6
0800A160 sub_800A160     7           49          11
0800A1C8 sub_800A1C8    13           56          20
0801378C sub_801378C     1            3           0
08014804 sub_8014804     8           57          13
08015160 sub_8015160     1           33           0
080151AC sub_80151AC     1           32           0
0801618C sub_801618C    10           41          13
080372E4 sub_80372E4     3           15           3
08039660 sub_8039660     1            3           0
08063C40 sub_8063C40    18           75          26
08064720 sub_8064720    17           70          24
080829A4 sub_80829A4     5           61           6
080C6100 sub_80C6100     1            1           0
080D16AC sub_80D16AC     1            2           0
080D1CC0 sub_80D1CC0     1           25           0
080D1CFC sub_80D1CFC     1           26           0
080D1DCC sub_80D1DCC    10           33          16
