name                                                        value   
----                                                        -----   
basicBlock matches (library)                                0       
basicBlock matches (non-library)                            47640   
basicBlocks primary (library)                               0       
basicBlocks primary (non-library)                           48974   
basicBlocks secondary (library)                             0       
basicBlocks secondary (non-library)                         48244   
flowGraph edge matches (library)                            0       
flowGraph edge matches (non-library)                        59865   
flowGraph edges primary (library)                           0       
flowGraph edges primary (non-library)                       61943   
flowGraph edges secondary (library)                         0       
flowGraph edges secondary (non-library)                     61132   
function matches (library)                                  0       
function matches (non-library)                              8513    
functions primary (library)                                 0       
functions primary (non-library)                             8714    
functions secondary (library)                               0       
functions secondary (non-library)                           8538    
instruction matches (library)                               0       
instruction matches (non-library)                           346495  
instructions primary (library)                              0       
instructions primary (non-library)                          363687  
instructions secondary (library)                            0       
instructions secondary (non-library)                        355788  
basicBlock: MD index matching (bottom up)                   38      
basicBlock: MD index matching (top down)                    567     
basicBlock: call reference matching                         408     
basicBlock: edges Lengauer Tarjan dominated                 14      
basicBlock: edges MD index (bottom up)                      79      
basicBlock: edges MD index (top down)                       1618    
basicBlock: edges prime product                             38479   
basicBlock: entry point matching                            37      
basicBlock: exit point matching                             23      
basicBlock: hash matching (4 instructions minimum)          3177    
basicBlock: instruction count matching                      21      
basicBlock: jump sequence matching                          716     
basicBlock: loop entry matching                             46      
basicBlock: prime matching (0 instructions minimum)         45      
basicBlock: prime matching (4 instructions minimum)         2309    
basicBlock: propagation (size==1)                           53      
basicBlock: relaxed MD index matching                       9       
basicBlock: self loop matching                              1       
function: MD index matching (callGraph MD index, bottom up) 8       
function: MD index matching (callGraph MD index, top down)  143     
function: MD index matching (flowgraph MD index, bottom up) 1       
function: MD index matching (flowgraph MD index, top down)  373     
function: address sequence                                  1347    
function: call reference matching                           1854    
function: call sequence matching(exact)                     9       
function: call sequence matching(sequence)                  35      
function: edges callgraph MD index                          1117    
function: edges flowgraph MD index                          1085    
function: hash matching                                     996     
function: instruction count                                 39      
function: loop count matching                               1       
function: prime signature matching                          1505    
confidence                                                  0.987425
similarity                                                  0.966804
