_start(ARM) 0x8000000
intr_main(ARM) 0x80000FC
AgbMain 0x8000A50
print_build_version 0x8000B1C
InitProcSystem 0x8004420
EndProc 0x8004584
ExecProc 0x8004690
GotoProcLabel 0x8004720
ForEachProc 0x8004794
ProcInst11_EnsureUniqueWeak 0x8004AE8
ProcInst12_EnsureUniqueStrong 0x8004B28
ForEach6CDoNothing 0x8004BD0
GetIconGfxIndex 0x8004D90
DrawIcon 0x8004E28
StoreNumberStringOrDashesToSmallBuffer 0x8005080
StoreNumberHexStringToSmallBuffer 0x80050CC
SetupDebugFontForOBJ 0x8005280
Font_InitForUI 0x80053D4
InitClearTextBatch 0x80054C4
Text_AppendChar 0x8005814
DrawTextInline 0x8005AD4
NewGreenTextColorManager 0x8005FF4
DrawSpecialUiChar_ 0x800611C
DrawUiNumberOrDoubleDashes 0x80061E4
DrawStatScreenBonusNumber 0x8006240
UpdateAISs 0x8006490
CreateAIS 0x8006594
SortAISs 0x80065F8
InsertAIS 0x8006808
HiObjClear 0x80069B0
Face_Init 0x8006B34
StartFaceAuto 0x8006C08
SetFaceDisplayBits 0x8006D68
LoadMiniMugGraphics 0x8006F1C
SetFaceBlinkControl 0x8007A44
Dialogue_ClearFaceReferences 0x8007DD4
Dialogue_InitGfxObj 0x8007E98
StartDialogue 0x8007F78
DialogueMain_OnInit 0x80081E4
StartDialogueTextChoice 0x80093CC
DialogueEnableBgSyncByMask 0x800A4F0
AP_Create 0x8011FC4
AP_Update 0x8012000
_APProc_OnUpdate 0x80124A4
APProc_SetParameters 0x80124DC
String_GetFromIndex 0x8012C60
PopupProc_GetInnerLength 0x800A7E4
ArchiveCurrentPalettes 0x80136AC
ArchivePalette 0x80136F8
IsFadeActive 0x8013EB8
WaitForFade 0x8014298
SomeDrawTextInlineAutoWidth 0x8014698
RerangeSomething 0x8014D58
PlaySpacialSoundMaybe 0x8014D80
MapMain_StartPhaseController 0x80153E0
MoveCameraByStepMaybe 0x8015714
GetSomeAdjustedCameraX 0x8015894
GetSomeAdjustedCameraY 0x80158D8
DisplayCursor 0x801596C
StoreAdjustedCameraPositions 0x8015C04
EquipUnitItemSlot 0x80167F4
CanUnitUse 0x8016B2C
IsItemHammernable 0x8016D60
ClearUnits 0x80174D8
GetNextFreeUnit 0x801754C
RemoveUnitBlankItems 0x8017688
CharFillInventoryFromCode 0x80178F4
AutolevelUnit 0x8017B80
GetUnitByCharId 0x8017D34
GetUnitByCharIdAndAllegiance 0x8017D70
CanUnitRescue 0x8017DB4
CleanupUnitStatesForPhaseSwitch 0x8018268
SetAllUnitNotBackSprite 0x80183F4
UnitDecreaseItemUse 0x801842C
GetUnitAid 0x8018450
GetRedTeamUseFlags 0x8018624
GetUnitCurrentHP 0x8018A70
SetUnitHP 0x8018C40
UnitTryHeal 0x8018C7C
