_start 0x8000000
intr_main 0x80000FC
AgbMain 0x8000A20
print_build_version 0x8000B10
InitProcSystem 0x8002C08
EndProc 0x8002D6C
ExecProc 0x8002E84
GotoProcLabel 0x8002F24
ForEachProc 0x8002F98
ProcInst11_EnsureUniqueWeak 0x80032F8
ProcInst12_EnsureUniqueStrong 0x8003338
ForEach6CDoNothing 0x80033E0
GetIconGfxIndex 0x8003624
DrawIcon 0x80036BC
StoreNumberStringOrDashesToSmallBuffer 0x800391C
StoreNumberHexStringToSmallBuffer 0x8003968
SetupDebugFontForOBJ 0x8003B24
Font_InitForUI 0x8003CB8
InitClearTextBatch 0x8003DAC
Text_AppendChar 0x8004180
DrawTextInline 0x800443C
NewGreenTextColorManager 0x80049AC
DrawSpecialUiChar_ 0x8004ACC
DrawUiNumberOrDoubleDashes 0x8004B94
DrawStatScreenBonusNumber 0x8004BF0
UpdateAISs 0x8004E40
CreateAIS 0x8004F48
SortAISs 0x8004FAC
InsertAIS 0x80051C0
HiObjClear 0x80053A4
Face_Init 0x8005528
StartFaceAuto 0x8005610
SetFaceDisplayBits 0x8005770
LoadMiniMugGraphics 0x8005924
SetFaceBlinkControl 0x8006438
Dialogue_ClearFaceReferences 0x80067E8
Dialogue_InitGfxObj 0x80068AC
StartDialogue 0x800698C
DialogueMain_OnInit 0x8006C00
StartDialogueTextChoice 0x8007DE8
DialogueEnableBgSyncByMask 0x8008F20
AP_Create 0x800927C
AP_Update 0x80092BC
_APProc_OnUpdate 0x8009760
APProc_SetParameters 0x8009798
String_GetFromIndex 0x800A240
PopupProc_GetInnerLength 0x8010F38
ArchiveCurrentPalettes 0x80134D4
ArchivePalette 0x8013520
IsFadeActive 0x8013C88
WaitForFade 0x8014068
SomeDrawTextInlineAutoWidth 0x801443C
RerangeSomething 0x8014B00
PlaySpacialSoundMaybe 0x8014B28
MapMain_StartPhaseController 0x8015450
MoveCameraByStepMaybe 0x8015838
GetSomeAdjustedCameraX 0x80159B8
GetSomeAdjustedCameraY 0x80159FC
DisplayCursor 0x8015A98
StoreAdjustedCameraPositions 0x8015D30
EquipUnitItemSlot 0x8016BC0
CanUnitUse 0x8016F7C
IsItemHammernable 0x8017080
ClearUnits 0x80177C4
GetNextFreeUnit 0x8017838
RemoveUnitBlankItems 0x8017984
CharFillInventoryFromCode 0x8017DF8
AutolevelUnit 0x8018120
GetUnitByCharId 0x801829C
GetUnitByCharIdAndAllegiance 0x80182D8
CanUnitRescue 0x801831C
CleanupUnitStatesForPhaseSwitch 0x80187C0
SetAllUnitNotBackSprite 0x801895C
UnitDecreaseItemUse 0x8018994
GetUnitAid 0x80189B8
GetRedTeamUseFlags 0x8018BA0
GetUnitCurrentHP 0x8019150
